date,Time.of.Issue,Form,Method,Issue,Zip
07/27/2016,11:37 am,Phone,Wired,Telemarketing (including do not call and spoofing),75078
07/27/2016,8:54 am,Phone,Wired,Robocalls,80528
07/27/2016,4:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),27519
07/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),16635
07/27/2016,3:54 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,11501
07/27/2016,1:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),94127
07/27/2016,3:47 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30240
07/27/2016,2:47 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,42419
07/27/2016,9:46 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),78736
07/27/2016,9:03 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85331
07/27/2016,2:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),19805
07/23/2016,8:30 a.m.,Phone,Wired,Robocalls,14150
09/08/2016,9:33 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),48047
09/08/2016,9:51 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),10022
07/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),16635
07/27/2016,3:55 pm,Phone,Wired,Robocalls,10605
07/27/2016,1:30 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),92660
07/27/2016,11:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95688
09/08/2016,9:30 am,Phone,Wireless (cell phone/other mobile device),Robocalls,23226
09/08/2016,7:30 am,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),80816
08/17/2016,5:25 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),64746
08/18/2016,9:15 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),44708
07/08/2016,11:21 AM,Phone,Wired,Robocalls,45040
07/10/2016,4:09 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33418
07/06/2016,10:32 AM,Phone,Wired,Telemarketing (including do not call and spoofing),49424
07/27/2016,4:20 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,40359
07/27/2016,4:18 pm,Phone,Wired,Robocalls,18036
07/27/2016,01:59 pm,Phone,Wired,Telemarketing (including do not call and spoofing),6880
07/27/2016,4:28 pm,Phone,Wired,Robocalls,48357
07/26/2016,7:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),92821
07/27/2016,10:51 am,Phone,Wired,Telemarketing (including do not call and spoofing),6880
07/27/2016,11:49 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),7728
07/27/2016,3:51 pm,Phone,Wired,Robocalls,33569
07/27/2016,12:50 pm,Phone,Internet (VOIP),Robocalls,21401
07/27/2016,9:00 am,Phone,Internet (VOIP),Robocalls,34442
07/27/2016,9:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),98031
07/27/2016,3:43 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30032
07/27/2016,1:37 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95503
07/27/2016,3:30 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),73071
07/27/2016,4:15 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),28205
07/27/2016,4:43 pm,Phone,Wired,Telemarketing (including do not call and spoofing),33323
07/27/2016,4:46 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21218
07/27/2016,5:00 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,7094
09/08/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),757
07/27/2016,11:56 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),11554
07/27/2016,1:47 pm,Phone,Wired,Telemarketing (including do not call and spoofing),46278
07/27/2016,3:45 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),66215
07/27/2016,5:10 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,40220
07/27/2016,4:12 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,72210
07/22/2016,11:20 a.m.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),53190
07/27/2016,1:43 PM,Phone,Wired,Telemarketing (including do not call and spoofing),97217
07/27/2016,4:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),23225
07/26/2016,12:49 p.m.,Phone,Wired,Robocalls,72761
07/27/2016,3:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),83402
07/27/2016,5:21 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,7006
07/27/2016,2:20 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,89148
07/27/2016,11:15 am,Phone,Wired,Telemarketing (including do not call and spoofing),41011
07/27/2016,12:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),43614
07/27/2016,9:15 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),17547
07/27/2016,5:30 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21769
07/27/2016,4:37 pm,Phone,Internet (VOIP),Robocalls,1824
09/08/2016,9:52 am,Phone,Wireless (cell phone/other mobile device),Robocalls,7450
07/27/2016,4:30 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,66044
07/27/2016,4:33 p.m.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),73112
07/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85006
07/26/2016,8:40 pm,Phone,Wired,Telemarketing (including do not call and spoofing),92629
07/27/2016,1:18 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,6820
07/27/2016,5:54 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),7642
07/27/2016,1:33 pm,Phone,Wired,Robocalls,95864
07/27/2016,4:43 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,53143
07/27/2016,5:07 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,60615
07/27/2016,4:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),63026
07/27/2016,6:00 pm,Phone,Internet (VOIP),Robocalls,27405
07/27/2016,2:15 P.M.,Phone,Wired,Robocalls,95827
07/27/2016,2:15 pm,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),22033
07/27/2016,5:15 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),76084
07/27/2016,NA,Phone,Wired,Robocalls,20852
07/27/2016,11:19 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33129
